Time(kyr)	d18O(permille)	Stderror(permille)
22198.882	2.34	0.22
22200.941	2.44	0.22
22203	2.46	0.22
22205.058	2.44	0.22
22208.353	2.5278	0.22
22210.411	2.4879	0.22
22212.47	2.5292	0.22
22214.529	2.4689	0.22
22216.588	2.3599	0.22
22218.647	2.4116	0.22
22220.706	2.5412	0.22
22222.765	2.4689	0.22
22224.824	2.5909	0.22
22226.882	2.6128	0.22
22231	2.7697	0.22
22233.059	2.7389	0.22
22235.118	2.6326	0.22
22237.177	2.7731	0.22
22239.236	2.6509	0.22
22241.295	2.6676	0.22
22243.353	2.6775	0.22
22245.412	2.7998	0.22
22247.471	2.6916	0.22
22249.53	2.6081	0.22
22251.589	2.8009	0.22
22253.648	2.7215	0.22
22255.707	2.6084	0.22
22257.766	2.5465	0.22
22259.824	2.5153	0.22
22261.883	2.6288	0.22
22263.942	2.7241	0.22
22266.001	2.5612	0.22
22267.865	2.6223	0.22
22269.728	2.7589	0.22
22271.592	2.7762	0.22
22273.306	2.7392	0.22
22275.319	2.6486	0.22
22277.183	2.6689	0.22
22279.046	2.8259	0.22
22280.91	2.6292	0.22
22282.774	2.587	0.22
22284.637	2.4696	0.22
22286.501	2.6609	0.22
22288.364	2.6913	0.22
22290.228	2.6369	0.22
22292.092	2.5094	0.22
22293.955	2.5737	0.22
22295.819	2.4909	0.22
22297.682	2.5333	0.22
22299.546	2.6383	0.22
22301.41	2.6498	0.22
22303.273	2.702	0.22
22305.137	2.519	0.22
22307.001	2.5428	0.22
22308.864	2.3196	0.22
22310.728	2.7193	0.22
22312.591	2.6248	0.22
22314.455	2.8687	0.22
22316.319	2.5495	0.22
22318.182	2.6179	0.22
22320.046	2.8179	0.22
22321.909	2.6695	0.22
22323.773	2.5798	0.22
22325.637	2.5781	0.22
22327.5	2.4073	0.22
22331.227	2.4255	0.22
22334.955	2.6894	0.22
22336.818	2.4972	0.22
22338.682	2.6501	0.22
22340.546	2.5538	0.22
22344.273	2.4884	0.22
22346.136	2.5814	0.22
22348	2.9634	0.22
22350.62	2.7551	0.22
22353.24	2.6235	0.22
22355.861	2.6834	0.22
22358.481	2.8022	0.22
22361.101	2.5036	0.22
22363.721	2.4923	0.22
22366.342	2.5354	0.22
22368.962	2.3413	0.22
22371.582	2.5704	0.22
22374.202	2.2092	0.22
22379.443	2.3073	0.22
22382.063	2.4943	0.22
22384.683	2.4886	0.22
22387.303	2.406	0.22
22389.923	2.4821	0.22
22392.544	2.2741	0.22
22395.164	2.4447	0.22
22397.784	2.5828	0.22
22400.195	2.3516	0.22
22403.025	2.2636	0.22
22405.645	2.4172	0.22
22408.265	2.3836	0.22
22410.885	2.5874	0.22
22413.505	2.1188	0.22
22416.126	2.5889	0.22
22418.746	2.4141	0.22
22421.366	2.3868	0.22
22423.986	2.5497	0.22
22426.606	2.7361	0.22
22429.227	2.6813	0.22
22431.847	2.7809	0.22
22434.467	2.7269	0.22
22437.087	2.727	0.22
22439.708	2.6054	0.22
22442.328	2.5251	0.22
22444.948	2.7547	0.22
22447.568	2.6828	0.22
22450.188	2.6057	0.22
22452.809	2.6598	0.22
22455.429	2.5572	0.22
22458.029	2.7649	0.22
22460.598	2.6632	0.22
22463.168	2.6548	0.22
22465.737	2.8715	0.22
22468.307	2.674	0.22
22470.876	2.7907	0.22
22473.445	2.7587	0.22
22476.015	2.5519	0.22
22478.584	2.5048	0.22
22481.154	2.4731	0.22
22483.723	2.3604	0.22
22486.293	2.4553	0.22
22488.862	2.4631	0.22
22491.432	2.6863	0.22
22494.001	2.2604	0.22
22496.57	2.5433	0.22
22499.14	2.381	0.22
22501.709	2.4236	0.22
22504.279	2.538	0.22
22506.848	2.5419	0.22
22509.418	2.3717	0.22
22511.987	2.5054	0.22
22514.557	2.3445	0.22
22517.126	2.39	0.22
22522.265	2.8601	0.22
22524.834	2.5415	0.22
22527.404	2.6131	0.22
22532.543	2.6014	0.22
22535.112	2.4624	0.22
22537.682	2.7824	0.22
22540.251	2.566	0.22
22542.82	2.772	0.22
22545.39	2.7636	0.22
22547.959	2.6201	0.22
22550.529	2.9321	0.22
22553.098	2.8763	0.22
22555.462	2.6695	0.22
22558.237	2.49	0.22
22560.807	2.7347	0.22
22563.376	2.9404	0.22
22565.945	2.6635	0.22
22568.506	2.923	0.22
22571.031	2.7318	0.22
22573.555	2.7774	0.22
22576.08	2.9063	0.22
22578.605	2.998	0.22
22581.13	2.6924	0.22
22583.654	2.7429	0.22
22586.179	2.6662	0.22
22591.228	2.6333	0.22
22593.753	2.5314	0.22
22596.278	2.4978	0.22
22598.803	2.5304	0.22
22601.327	2.6449	0.22
22603.852	2.6637	0.22
22606.377	2.5077	0.22
22608.902	2.4179	0.22
22611.426	2.7104	0.22
22613.951	2.5393	0.22
22616.476	2.4475	0.22
22619.001	2.6637	0.22
22621.525	2.6451	0.22
22624.05	2.5904	0.22
22626.575	2.672	0.22
22629.099	2.4793	0.22
22631.624	2.4651	0.22
22634.149	2.511	0.22
22636.674	2.4572	0.22
22639.198	2.729	0.22
22641.723	2.3282	0.22
22644.248	2.6143	0.22
22654.347	2.423	0.22
22656.871	2.5334	0.22
22662.931	2.23	0.22
22665.455	2.39	0.22
22667.98	2.19	0.22
22670.429	2.52	0.22
22672.571	2.22	0.22
22674.714	2.32	0.22
22676.857	2.18	0.22
22679	2.31	0.22
22681.143	2.21	0.22
22683.286	2.48	0.22
22685.428	2.03	0.22
22689.714	2.18	0.22
22691.857	2.39	0.22
22694	2.43	0.22
22696.143	2.62	0.22
22698.285	2.46	0.22
22700.428	2.05	0.22
22702.571	2.55	0.22
22704.714	2.24	0.22
22706.857	2.2	0.22
22709	2.27	0.22
22711.142	2.28	0.22
22715.428	2.35	0.22
22719.714	2.74	0.22
22721.856	2.56	0.22
22723.999	2.54	0.22
22726.142	2.65	0.22
22728.285	2.47	0.22
22730.428	2.42	0.22
22732.571	2.53	0.22
22734.713	2.41	0.22
22736.856	2.33	0.22
22738.999	2.41	0.22
22741.142	2.42	0.22
22743.285	2.48	0.22
22745.428	2.38	0.22
22747.57	2.49	0.22
22750.129	2.62	0.22
22752.793	2.36	0.22
22755.456	2.51	0.22
22758.119	2.42	0.22
22760.782	2.17	0.22
22766.108	2.5	0.22
22768.771	2.22	0.22
22771.434	2.35	0.22
22774.097	2.46	0.22
22776.76	2.63	0.22
22782.087	2.31	0.22
22784.75	2.48	0.22
22787.413	2.53	0.22
22790.076	2.21	0.22
22792.419	2.05	0.22
22795.402	2.09	0.22
22798.065	2.22	0.22
22800.728	2.14	0.22
22803.391	2.07	0.22
22806.055	2.18	0.22
22808.718	2.23	0.22
22811.381	2.08	0.22
22814.044	1.95	0.22
22816.707	2.14	0.22
22819.37	2.07	0.22
22822.033	2.67	0.22
22824.696	2.45	0.22
22827.359	2.32	0.22
22830.022	2.47	0.22
22832.686	2.45	0.22
22835.349	2.3	0.22
22838.012	2.74	0.22
22840.675	2.56	0.22
22843.338	2.7	0.22
22846.001	2.75	0.22
22848.289	2.77	0.22
22850.577	2.66	0.22
22852.865	2.8	0.22
22855.153	2.69	0.22
22857.442	2.73	0.22
22859.73	2.65	0.22
22862.018	2.5	0.22
22864.306	2.62	0.22
22866.594	2.51	0.22
22868.882	2.45	0.22
22871.17	2.6	0.22
22873.458	2.4	0.22
22875.746	2.4	0.22
22878.035	2.44	0.22
22880.323	2.36	0.22
22884.899	2.38	0.22
22887.187	2.48	0.22
22891.763	2.39	0.22
22894.051	2.41	0.22
22896.34	2.33	0.22
22898.628	2.17	0.22
22900.916	2.28	0.22
22903.204	2.25	0.22
22905.492	2.42	0.22
22907.78	2.15	0.22
22910.068	2.4	0.22
22912.356	2.48	0.22
22914.644	2.46	0.22
22916.933	2.32	0.22
22919.221	2.51	0.22
22921.509	2.47	0.22
22923.797	2.49	0.22
22926.085	2.5	0.22
22928.373	2.41	0.22
22930.661	2.72	0.22
22932.949	2.79	0.22
22935.237	2.68	0.22
22937.251	2.86	0.22
22939.814	2.77	0.22
22942.102	2.78	0.22
22946.678	2.5	0.22
22948.966	2.71	0.22
22951.254	2.69	0.22
22953.542	2.75	0.22
22956.202	2.57	0.22
22958.955	2.61	0.22
22961.708	2.73	0.22
22964.461	2.41	0.22
22967.213	2.6	0.22
22969.966	2.58	0.22
22972.719	2.48	0.22
22975.472	2.48	0.22
22978.225	2.37	0.22
22980.978	2.24	0.22
22983.73	2.26	0.22
22986.483	2.37	0.22
22989.236	2.54	0.22
22991.989	2.25	0.22
22994.742	2.37	0.22
22997.494	2.52	0.22
23000.247	2.25	0.22
23003	2.71	0.22
23005.753	2.65	0.22
23008.506	2.84	0.22
23011.258	2.45	0.22
23014.011	2.66	0.22
23016.764	2.76	0.22
23022.27	2.92	0.22
23025.022	2.58	0.22
23027.775	2.88	0.22
23030.528	3.05	0.22
23033.281	2.86515	0.22
23036.034	2.8913	0.22
23036.364	2.98	0.22
23038.787	3.0113	0.22
23039.337	2.77	0.22
23041.539	3.0303	0.22
23042.42	3.01	0.22
23044.292	2.9383	0.22
23045.393	3.04	0.22
23047.045	2.9413	0.22
23048.476	3.08	0.22
23049.798	2.8893	0.22
23051.449	3.02	0.22
23052.413	2.8923	0.22
23053.898	3	0.22
23054.475	2.9833	0.22
23056.125	3.01	0.22
23056.538	2.9583	0.22
23058.435	2.82	0.22
23058.6	2.9133	0.22
23060.663	2.88165	0.22
23062.725	2.9363	0.22
23062.973	2.53	0.22
23064.788	2.9713	0.22
23065.2	2.64	0.22
23066.85	2.8273	0.22
23067.51	2.83	0.22
23068.913	2.8953	0.22
23069.738	2.83	0.22
23070.975	2.9073	0.22
23072.048	2.86	0.22
23073.038	2.9173	0.22
23074.275	3.03	0.22
23075.1	2.9823	0.22
23076.585	2.91	0.22
23077.163	2.9453	0.22
23078.813	2.95	0.22
23079.225	2.9663	0.22
23081.123	2.87	0.22
23081.288	2.9873	0.22
23083.35	2.98635	0.22
23085.413	2.9836	0.22
23085.66	2.84	0.22
23087.475	2.97	0.22
23087.888	2.9	0.22
23089.538	2.924	0.22
23090.198	3	0.22
23091.435	2.9242	0.22
23093.663	2.8764	0.22
23095.725	2.9846	0.22
23097.788	2.9504	0.22
23099.85	2.8792	0.22
23101.913	2.7157	0.22
23103.975	2.8649	0.22
23106.038	3.073	0.22
23108.1	2.8857	0.22
23110.163	2.9255	0.22
23112.225	2.8673	0.22
23114.288	2.7361	0.22
23116.35	2.7981	0.22
23118.541	2.8678	0.22
23121.247	2.9186	0.22
23123.954	2.7153	0.22
23126.66	2.7616	0.22
23129.366	2.7934	0.22
23132.072	2.7482	0.22
23134.778	2.6809	0.22
23137.484	2.7128	0.22
23140.191	2.8557	0.22
23142.897	2.788	0.22
23145.603	2.7725	0.22
23148.309	2.7583	0.22
23151.015	2.6912	0.22
23153.721	2.7585	0.22
23156.428	2.7507	0.22
23159.134	2.9869	0.22
23161.84	2.5231	0.22
23164.546	2.7872	0.22
23167.252	2.599	0.22
23169.959	2.463	0.22
23172.665	2.305	0.22
23175.371	2.578	0.22
23178.077	2.572	0.22
23180.783	2.649	0.22
23183.489	2.551	0.22
23186.196	2.38	0.22
23188.902	2.496	0.22
23191.608	2.238	0.22
23194.314	2.361	0.22
23197.02	2.524	0.22
23199.726	2.853	0.22
23202.433	2.882	0.22
23205.139	2.544	0.22
23207.845	2.649	0.22
23210.551	2.802	0.22
23213.257	2.684	0.22
23215.963	2.436	0.22
23218.67	2.748	0.22
23221.376	2.682	0.22
23224.082	2.529	0.22
23226.788	2.81	0.22
23229.494	2.66	0.22
23232.2	2.587	0.22
23234.907	2.497	0.22
23237.613	2.494	0.22
23240.319	2.462	0.22
23243.025	2.19	0.22
23245.515	2.796	0.22
23248.438	2.436	0.22
23251.144	2.337	0.22
23253.85	2.3985	0.22
23256.556	2.309	0.22
23259.262	2.2237	0.22
23261.968	2.1837	0.22
23264.675	2.241	0.22
23267.381	2.2077	0.22
23270.087	2.404	0.22
23272.793	2.1457	0.22
23275.499	2.171	0.22
23278.205	2.1327	0.22
