age(kyr) mean(permil) sigma(permil)
1928.000000 3.081804 0.183928
1929.000000 3.059710 0.181991
1930.000000 3.040565 0.180662
1931.000000 3.023359 0.180326
1932.000000 3.008952 0.181584
1933.000000 2.998596 0.184089
1934.000000 2.992896 0.187482
1935.000000 2.992921 0.192244
1936.000000 3.000061 0.197490
1937.000000 3.016792 0.203603
1938.000000 3.040656 0.210846
1939.000000 3.076195 0.218747
1940.000000 3.125487 0.224814
1941.000000 3.187284 0.231741
1942.000000 3.258025 0.237216
1943.000000 3.328831 0.240425
1944.000000 3.397396 0.241913
1945.000000 3.458841 0.242167
1946.000000 3.511253 0.241367
1947.000000 3.551762 0.239391
1948.000000 3.581307 0.236994
1949.000000 3.596611 0.234335
1950.000000 3.600111 0.231891
1951.000000 3.594680 0.230083
1952.000000 3.575894 0.229143
1953.000000 3.546455 0.228804
1954.000000 3.508346 0.227758
1955.000000 3.467381 0.225814
1956.000000 3.428394 0.223383
1957.000000 3.389811 0.220829
1958.000000 3.350493 0.217844
1959.000000 3.314449 0.214891
1960.000000 3.291070 0.210740
1961.000000 3.281276 0.204648
1962.000000 3.282964 0.199548
1963.000000 3.285504 0.194855
1964.000000 3.283160 0.189224
1965.000000 3.276087 0.183801
1966.000000 3.265433 0.178382
1967.000000 3.250495 0.172974
1968.000000 3.234418 0.168655
1969.000000 3.215185 0.165258
1970.000000 3.193709 0.162355
1971.000000 3.169204 0.160138
1972.000000 3.140109 0.158326
1973.000000 3.109047 0.158042
1974.000000 3.073051 0.159722
1975.000000 3.032650 0.161869
1976.000000 2.989340 0.164097
1977.000000 2.946756 0.166363
1978.000000 2.906995 0.169626
1979.000000 2.873090 0.172253
1980.000000 2.850406 0.174661
1981.000000 2.844475 0.179030
1982.000000 2.852190 0.185453
1983.000000 2.870818 0.193607
1984.000000 2.898429 0.203710
1985.000000 2.934326 0.214530
1986.000000 2.975903 0.224122
1987.000000 3.024649 0.232570
1988.000000 3.080954 0.240555
1989.000000 3.141744 0.248621
1990.000000 3.203618 0.255350
1991.000000 3.266928 0.260394
1992.000000 3.330738 0.263071
1993.000000 3.394492 0.263427
1994.000000 3.452045 0.260436
1995.000000 3.500505 0.254444
1996.000000 3.536207 0.246986
1997.000000 3.557188 0.239132
1998.000000 3.564455 0.230943
1999.000000 3.558855 0.224210
2000.000000 3.541776 0.220135
2001.000000 3.518637 0.216742
2002.000000 3.489957 0.213423
2003.000000 3.458296 0.210396
2004.000000 3.425685 0.206650
2005.000000 3.394088 0.201374
2006.000000 3.365517 0.196072
2007.000000 3.337792 0.192077
2008.000000 3.313421 0.189420
2009.000000 3.289368 0.187327
2010.000000 3.268072 0.185554
2011.000000 3.246921 0.186041
2012.000000 3.228415 0.186575
2013.000000 3.213164 0.187621
2014.000000 3.199448 0.189049
2015.000000 3.189533 0.190933
2016.000000 3.181044 0.193357
2017.000000 3.166427 0.197464
2018.000000 3.140962 0.202357
2019.000000 3.104144 0.207959
2020.000000 3.059965 0.210932
2021.000000 3.015882 0.209460
2022.000000 2.971618 0.204619
2023.000000 2.928620 0.197926
2024.000000 2.891251 0.191563
2025.000000 2.860562 0.186489
2026.000000 2.833192 0.183438
2027.000000 2.815586 0.182732
2028.000000 2.809232 0.184033
2029.000000 2.813543 0.187748
2030.000000 2.831474 0.193060
2031.000000 2.860784 0.199634
2032.000000 2.903943 0.205991
2033.000000 2.952805 0.210810
2034.000000 2.999345 0.212775
2035.000000 3.041660 0.210509
2036.000000 3.082088 0.204679
2037.000000 3.121511 0.198061
2038.000000 3.159104 0.192391
2039.000000 3.191925 0.187917
2040.000000 3.222312 0.184780
2041.000000 3.247233 0.183035
2042.000000 3.263344 0.183845
2043.000000 3.268338 0.188505
2044.000000 3.258964 0.196829
2045.000000 3.237051 0.208136
2046.000000 3.206015 0.220912
2047.000000 3.166785 0.232830
2048.000000 3.121868 0.244429
2049.000000 3.077604 0.255907
2050.000000 3.039236 0.266386
2051.000000 3.003763 0.274891
2052.000000 2.972522 0.280997
2053.000000 2.947760 0.286252
2054.000000 2.929510 0.291017
2055.000000 2.924207 0.294916
2056.000000 2.932079 0.298995
2057.000000 2.953197 0.303040
2058.000000 2.985892 0.307029
2059.000000 3.031263 0.310364
2060.000000 3.089231 0.310667
2061.000000 3.152772 0.308959
2062.000000 3.222416 0.303610
2063.000000 3.294333 0.295813
2064.000000 3.364838 0.286043
2065.000000 3.431974 0.275429
2066.000000 3.493942 0.264218
2067.000000 3.546194 0.252482
2068.000000 3.589827 0.241469
2069.000000 3.628510 0.230693
2070.000000 3.658532 0.221368
2071.000000 3.677602 0.213025
2072.000000 3.685089 0.205273
2073.000000 3.679935 0.199617
2074.000000 3.667767 0.195561
2075.000000 3.651734 0.193458
2076.000000 3.631517 0.191309
2077.000000 3.607500 0.188400
2078.000000 3.577321 0.186078
2079.000000 3.545047 0.184519
2080.000000 3.510122 0.182953
2081.000000 3.475554 0.181190
2082.000000 3.444059 0.180858
2083.000000 3.410915 0.181300
2084.000000 3.369769 0.182923
2085.000000 3.323416 0.185129
2086.000000 3.278117 0.186568
2087.000000 3.228189 0.187377
2088.000000 3.178658 0.187171
2089.000000 3.131552 0.185583
2090.000000 3.093348 0.185693
2091.000000 3.059843 0.185836
2092.000000 3.034653 0.186537
2093.000000 3.016157 0.188850
2094.000000 2.998902 0.191771
2095.000000 2.978585 0.195059
2096.000000 2.961637 0.196597
2097.000000 2.951780 0.198340
2098.000000 2.949246 0.198899
2099.000000 2.950829 0.198276
2100.000000 2.958480 0.197253
2101.000000 2.969121 0.195541
2102.000000 2.981837 0.194167
