age(kyr) mean(permil) sigma(permil)
614.000000 3.516886 0.186450
615.000000 3.560573 0.192839
616.000000 3.613275 0.199822
617.000000 3.680311 0.206384
618.000000 3.761809 0.211780
619.000000 3.856650 0.215125
620.000000 3.960804 0.216665
621.000000 4.068951 0.216372
622.000000 4.178780 0.214676
623.000000 4.285738 0.211797
624.000000 4.386438 0.208354
625.000000 4.482991 0.204395
626.000000 4.572261 0.199704
627.000000 4.649779 0.194341
628.000000 4.706808 0.187841
629.000000 4.737499 0.180766
630.000000 4.746109 0.173867
631.000000 4.743277 0.167623
632.000000 4.735541 0.162043
633.000000 4.724762 0.156661
634.000000 4.709435 0.152900
635.000000 4.693899 0.150545
636.000000 4.679051 0.148143
637.000000 4.662248 0.146164
638.000000 4.646549 0.144291
639.000000 4.629607 0.141709
640.000000 4.614167 0.138531
641.000000 4.601899 0.134437
642.000000 4.593349 0.129748
643.000000 4.582024 0.125609
644.000000 4.572066 0.120872
645.000000 4.562976 0.117049
646.000000 4.554179 0.113430
647.000000 4.546366 0.110654
648.000000 4.529993 0.108566
649.000000 4.513689 0.108402
650.000000 4.496908 0.109184
651.000000 4.476165 0.110951
652.000000 4.459257 0.112688
653.000000 4.446824 0.115077
654.000000 4.437610 0.117145
655.000000 4.428547 0.119201
656.000000 4.417129 0.120905
657.000000 4.407319 0.121693
658.000000 4.398793 0.121159
659.000000 4.388811 0.121212
660.000000 4.379641 0.121574
661.000000 4.370500 0.121869
662.000000 4.362842 0.122497
663.000000 4.353998 0.123450
664.000000 4.341834 0.123823
665.000000 4.326917 0.124459
666.000000 4.313129 0.125066
667.000000 4.297214 0.124879
668.000000 4.279145 0.123022
669.000000 4.259551 0.121406
670.000000 4.247906 0.120419
671.000000 4.240696 0.119838
672.000000 4.234970 0.119978
673.000000 4.227785 0.121732
674.000000 4.219003 0.124334
675.000000 4.204955 0.128387
676.000000 4.192102 0.133181
677.000000 4.178916 0.137798
678.000000 4.157923 0.141598
679.000000 4.129579 0.144768
680.000000 4.098109 0.146265
681.000000 4.072547 0.146472
682.000000 4.049386 0.147514
683.000000 4.028012 0.150088
684.000000 4.005271 0.155682
685.000000 3.978980 0.164581
686.000000 3.946024 0.174526
687.000000 3.912996 0.185050
688.000000 3.875729 0.193411
689.000000 3.827538 0.198968
690.000000 3.767035 0.201157
691.000000 3.702768 0.200698
692.000000 3.647823 0.197549
693.000000 3.605250 0.193570
694.000000 3.574792 0.189784
695.000000 3.560086 0.186796
696.000000 3.556187 0.184843
697.000000 3.556668 0.183600
698.000000 3.564596 0.183946
699.000000 3.580603 0.186028
700.000000 3.592366 0.191813
