Age,d18O
164.7698111,4.421559
165.6279296,4.407632
166.486048,4.38587
167.3441665,4.365836
168.2022849,4.354339
169.0604034,4.354119
169.9185218,4.335713
170.7766403,4.283406
171.6347587,4.228791
172.4928771,4.199616
173.3509956,4.191106
174.209114,4.204033
175.0672325,4.251753
175.9253509,4.294224
176.7834694,4.309991
177.6415878,4.318066
178.4997063,4.325802
179.3578247,4.315574
180.2159432,4.29085
181.1124636,4.281974
182.0089839,4.307071
182.9055043,4.361866
183.8020247,4.374616
184.6985451,4.344657
185.5950655,4.293637
186.4915859,4.226258
187.3881063,4.145795
188.2846266,4.047958
189.181147,3.942356
190.0776674,3.85507
190.9741878,3.794259
191.8707082,3.769243
192.7672286,3.750206
193.663749,3.68723
194.5602694,3.599734
195.4567897,3.517194
196.3533101,3.452743
197.2498305,3.423296
198.1463509,3.4384
199.0428713,3.498415
199.9393917,3.574689
200.8359121,3.618565
201.7324325,3.631697
202.6289528,3.627532
203.5254732,3.604583
204.4845303,3.576193
205.4435874,3.533698
206.4026444,3.473441
207.3617015,3.4232
208.3207586,3.394668
209.2798156,3.377866
210.2388727,3.387682
211.1979298,3.443934
212.1569868,3.543434
213.1160439,3.672414
214.075101,3.826191
215.034158,3.987347
215.9932151,4.114973
216.9522721,4.187178
217.9113292,4.237049
218.8703863,4.273682
219.8294433,4.276596
220.7885004,4.241033
221.7475575,4.182954
222.7066145,4.132665
223.6656716,4.102164
224.6247287,4.07174
225.5837857,4.031065
226.5428428,3.98136
227.5018999,3.902918
228.4609569,3.799812
229.4382527,3.672833
230.4155484,3.548
231.3928442,3.450464
232.3701399,3.380615
233.3474356,3.34702
234.3247314,3.362893
235.3020271,3.450449
236.2793229,3.593045
237.2566186,3.75504
238.2339143,3.92031
239.2112101,4.071311
240.1885058,4.184269
241.1658016,4.253633
242.1430973,4.317151
243.120393,4.38292
244.0976888,4.438477
245.0749845,4.464943
246.0522803,4.476513
247.029576,4.471075
248.0068717,4.436364
248.9841675,4.391163
249.9614632,4.364289
250.9387589,4.356225
251.9160547,4.340668
252.8933504,4.315032
253.8706462,4.304442
254.856819,4.315569
255.8429919,4.325768
256.8291648,4.333655
257.8153376,4.358469
258.8015105,4.37738
259.7876834,4.376451
260.7738563,4.375059
261.7600291,4.40097
262.746202,4.441086
263.7323749,4.462398
264.7185477,4.444391
265.7047206,4.400462
266.6908935,4.36334
267.6770663,4.325313
268.6632392,4.2763
269.6494121,4.248303
270.635585,4.238721
271.6217578,4.210674
272.6079307,4.14605
273.5941036,4.175111
274.5802764,4.1245905
275.5664493,4.0769355
276.5526222,4.032087
277.538795,4.0059685
278.5249679,4.002889
279.5111408,4.008424
280.3340811,4.02528
281.1570214,4.0671635
281.9799617,4.1281425
282.8029021,4.181277
283.6258424,4.2140415
284.4487827,4.2385555
285.271723,4.245168
286.0946633,4.2384185
286.9176036,4.2244045
287.740544,4.2018755
