Age,d18O
505,3.824148323
506,3.866690741
507,3.917595428
508,3.964400227
509,4.004944856
510,4.018196608
511,4.004239078
512,3.992162988
513,3.982950306
514,3.965759927
515,3.946733695
516,3.921956078
517,3.888548894
518,3.844453056
519,3.803796127
520,3.785598457
521,3.762614703
522,3.73853782
523,3.738905067
524,3.758357294
525,3.791112734
526,3.836691563
527,3.858583522
528,3.866476497
529,3.877851194
530,3.900593395
531,3.932908613
532,3.997717408
533,4.104435583
534,4.219877603
535,4.30133372
536,4.348975693
537,4.378433338
538,4.389977283
539,4.392959067
540,4.385149858
541,4.375084199
542,4.367648025
543,4.361965166
544,4.362075327
545,4.365288574
546,4.355951832
547,4.334709205
548,4.308766634
549,4.276428543
550,4.235216802
551,4.184628051
552,4.135365095
553,4.101356112
554,4.067174158
555,4.021633774
556,3.964236364
557,3.905310824
558,3.862080534
559,3.825025256
560,3.789107926
561,3.768328764
562,3.759901154
563,3.750630665
564,3.732259462
565,3.690218834
566,3.613278548
567,3.515075978
568,3.425096812
569,3.351833003
570,3.31199249
571,3.301477586
572,3.317754989
573,3.364537791
574,3.454145348
575,3.590825599
576,3.754045392
577,3.902459708
578,4.004936888
579,4.059781593
580,4.086401612
581,4.088421392
582,4.066129107
583,4.026149593
584,3.976579959
585,3.926115482
586,3.8791562
587,3.842344429
588,3.821337035
589,3.807602117
590,3.80259781
591,3.818680853
592,3.84281258
593,3.857165347
594,3.858794608
595,3.850489275
596,3.818218329
597,3.763584441
598,3.705331154
599,3.659444761
600,3.621423717
601,3.577604561
602,3.519705537
603,3.455986059
604,3.402013415
605,3.37124698
606,3.370901319
607,3.395435496
608,3.432193477
609,3.486600337
610,3.565975478
611,3.651490925
612,3.731132599
613,3.807738359
614,3.88900407
615,3.980944912
616,4.088572896
617,4.218784066
618,4.362152142
619,4.500745378
620,4.622676965
621,4.7289314
622,4.816062309
623,4.869777951
624,4.882675222
625,4.855963004
626,4.820427055
627,4.782572635
628,4.760744263
629,4.752529372
630,4.73933323
631,4.721586844
632,4.704094141
633,4.684386131
634,4.6648715
635,4.645850232
636,4.626843707
637,4.602978132
638,4.569669695
639,4.53473038
640,4.509187149
641,4.495113267
642,4.489102583
643,4.49070326
644,4.494344636
645,4.496428658
646,4.491664403
647,4.480411318
648,4.449389936
649,4.413371527
650,4.389739468
651,4.383640311
652,4.383653422
653,4.380253513
654,4.371237275
655,4.354689872
656,4.337102435
657,4.327927306
658,4.323283744
659,4.317551617
660,4.309368394
661,4.301312114
662,4.290391418
663,4.272708179
664,4.249473139
665,4.222622619
666,4.192157821
667,4.158325619
668,4.124120981
669,4.092524575
670,4.060137298
671,4.028211705
672,3.851395764
673,3.758065437
674,3.754159143
675,3.750280933
676,3.743225149
677,3.732772215
678,3.716195847
679,3.691406319
680,3.659024181
681,3.622412386
682,3.58711642
683,3.559640003
684,3.538679865
685,3.524662472
686,3.516743567
687,3.515427797
688,3.521583763
689,3.535857458
690,3.558261212
691,3.58423917
692,3.604835684
693,3.613003053
694,3.60892757
695,3.603977476
696,3.608979096
697,3.621696595
698,3.643191687
699,3.665015799
700,3.683124954
701,3.699266115
702,3.719615682
703,3.745124459
704,3.772721307
705,3.803511481
706,3.836009095
707,3.872840327
708,3.921810774
709,3.984532269
710,4.048676684
711,4.096382342
712,4.126763525
713,4.138409216
714,4.1589942
715,4.404875496
716,4.347422232
717,4.287488679
718,4.225889366
719,4.159915233
720,4.097011876
721,4.041832103
722,3.99134424
723,3.950149917
724,3.932020175
725,3.930109676
726,3.935231458
727,3.947218219
728,3.975027929
729,4.007154714
730,4.040222501
731,4.071369071
732,4.079797888
733,4.079698897
734,4.095490668
735,4.146108427
736,4.237497051
737,4.344761609
738,4.416866449
739,4.429903766
740,4.40117093
741,4.360393447
742,4.331935465
743,4.311640587
744,4.296173034
745,4.280242043
746,4.242826921
747,4.188584261
748,4.128949198
749,4.075637756
750,4.029870868
751,3.985330433
752,3.938793584
753,3.90697153
754,3.88994255
755,3.881849487
756,3.874541275
757,3.872880753
758,3.880985081
759,3.868802292
760,3.81926674
761,3.749842643
762,3.682882086
763,3.629654941
764,3.583018945
765,3.540920568
766,3.496372355
767,3.453129954
768,3.433416866
769,3.427432432
770,3.412828023
771,3.396643644
772,3.381687786
773,3.375547528
774,3.383627691
775,3.399526307
776,3.433659729
777,3.495792484
778,3.583486022
779,3.690664239
780,3.804469311
781,3.911266753
782,4.013722845
783,4.13235747
784,4.272790935
785,4.398301363
786,4.465871795
787,4.492806022
788,4.499412464
789,4.490370182
790,4.4657521
791,4.429082307
792,4.394353781
793,4.37060442
794,4.353885949
795,4.333965806
796,4.30250273
797,4.266719924
798,4.230162383
799,4.180094858
800,4.143207457
801,4.113426012
802,4.069968859
803,4.013170007
804,3.961383152
805,3.919727931
806,3.872687689
807,3.814523574
808,3.754284516
809,3.713837361
810,3.680318416
811,3.650544508
812,3.624969964
813,3.618455367
814,3.644925864
815,3.693444864
816,3.761556679
817,3.832337202
818,3.871110202
819,3.869131576
820,3.844694438
821,3.816642199
822,3.792824027
823,3.772196253
824,3.74843514
825,3.725444485
826,3.708975424
827,3.703792875
828,3.714036783
829,3.736008562
830,3.750491234
831,3.731633594
832,3.700649791
833,3.684556601
834,3.667094255
835,3.635449978
836,3.594877629
837,3.561213941
838,3.538042975
839,3.511031728
840,3.469955222
841,3.425998696
842,3.402013943
843,3.415754399
844,3.459666034
845,3.504996644
846,3.537417329
847,3.545336307
848,3.527287301
849,3.494985269
850,3.461333889
851,3.4269995
852,3.391511625
853,3.356062593
854,3.328271682
855,3.318847935
856,3.32713244
857,3.347783281
858,3.378356804
859,3.422497334
860,3.487282009
861,3.577982151
862,3.704414265
863,3.85735133
864,4.009171652
865,4.142122954
866,4.255006066
867,4.35411979
868,4.441099554
869,4.50985482
870,4.553057766
871,4.574175163
872,4.569127908
873,4.549416386
874,4.523565666
875,4.492669929
876,4.456419472
877,4.421554942
878,4.396122281
879,4.379051934
880,4.365447785
881,4.350186722
882,4.334348546
883,4.322809129
884,4.319015293
885,4.318978267
886,4.313264972
887,4.298937188
888,4.279823708
889,4.256229538
890,4.228280335
891,4.193046693
892,4.150106406
893,4.107294105
894,4.068591335
895,4.027871862
896,3.983164293
897,3.946435031
898,3.924852141
899,3.913512345
900,3.90809955
901,3.905960907
902,3.911773275
903,3.920955742
904,3.921923098
905,3.911613004
906,3.897347996
907,3.886038825
908,3.88211263
909,3.884911504
910,3.897249127
911,3.920305932
912,3.96177518
913,4.027769029
