Age,d18O
392,3.092034682
393,3.067229727
394,3.056336165
395,3.049637643
396,3.05707407
397,3.078637487
398,3.102007931
399,3.117372744
400,3.124491246
401,3.141176916
402,3.1653923
403,3.202192488
404,3.250374809
405,3.303481387
406,3.356665046
407,3.404666477
408,3.450743363
409,3.498755261
410,3.549132094
411,3.592848856
412,3.627644515
413,3.661868411
414,3.707653095
415,3.76879168
416,3.84723913
417,3.939058714
418,4.038219876
419,4.146127298
420,4.268415161
421,4.403179881
422,4.538807066
423,4.66315385
424,4.768217664
425,4.844784307
426,4.885873999
427,4.90210676
428,4.893374914
429,4.877977646
430,4.865332391
431,4.843091499
432,4.815487248
433,4.788152202
434,4.759462249
435,4.730052628
436,4.701681934
437,4.674201677
438,4.637248199
439,4.598709808
440,4.559045868
441,4.517169112
442,4.482094742
443,4.462777099
444,4.451726311
445,4.439810593
446,4.426917833
447,4.417345589
448,4.416865254
449,4.42253342
450,4.422290958
451,4.411034602
452,4.395238273
453,4.379928126
454,4.367709593
455,4.360270741
456,4.355195381
457,4.348024372
458,4.33399697
459,4.313836208
460,4.290737637
461,4.265449027
462,4.237158488
463,4.203832463
464,4.16479671
465,4.121719744
466,4.078198479
467,4.042030323
468,4.015147048
469,3.999896454
470,4.000324877
471,4.009168492
472,4.014265232
473,3.998514247
474,3.952575069
475,3.891115041
476,3.832356983
477,3.790168834
478,3.766513164
479,3.744740897
480,3.710414552
481,3.671347086
482,3.633078142
483,3.596347214
484,3.566109449
485,3.536713267
486,3.507611577
487,3.499373051
488,3.518684744
489,3.551953495
490,3.584015782
491,3.605448089
492,3.611865778
493,3.615658668
494,3.618906882
495,3.622764374
496,3.63232003
497,3.645293836
498,3.659954541
499,3.687207743
500,3.723025133
501,3.756290679
502,3.791450375
503,3.828687736
504,3.871860919
505,3.921558223
506,3.967550473
507,4.005985785
508,4.017652394
509,4.003942325
510,3.992100887
511,3.983076533
512,3.966177039
513,3.947641387
514,3.923678099
515,3.891578757
516,3.848000495
517,3.806504404
518,3.788296928
519,3.768031923
520,3.740348165
521,3.735867272
522,3.751184909
523,3.779448691
524,3.819506517
525,3.852796429
526,3.863516606
527,3.872154351
528,3.888975839
529,3.913075309
530,3.954109892
531,4.035288642
532,4.148713592
533,4.255607492
534,4.319902131
535,4.358454343
536,4.38221877
537,4.390717976
538,4.391914535
539,4.383951967
540,4.374491975
541,4.367397577
542,4.36187126
543,4.362173494
544,4.365334567
545,4.355579434
546,4.334146368
547,4.308102351
548,4.275557601
549,4.234079926
550,4.183204303
551,4.13439039
552,4.100382778
553,4.065849434
554,4.01988559
555,3.96217772
556,3.903732221
557,3.860871055
558,3.823620938
559,3.787980739
560,3.767934298
561,3.75964552
562,3.7502057
563,3.731376418
564,3.68818583
565,3.609730027
566,3.510750834
567,3.419889294
568,3.348186445
569,3.310851085
570,3.302913152
571,3.32287179
572,3.375978519
573,3.474599252
574,3.619905307
575,3.78542258
576,3.928505647
577,4.020808985
578,4.068495505
579,4.090820647
580,4.085206484
581,4.057107321
582,4.011764823
583,3.959658839
584,3.909151251
585,3.864262127
586,3.832751867
587,3.815505534
588,3.805167369
589,3.809167622
590,3.829787938
591,3.849539884
592,3.858026821
593,3.85560758
594,3.837788145
595,3.797472568
596,3.742459479
597,3.689338647
598,3.64679207
599,3.607948162
600,3.561117401
601,3.502277973
602,3.441237358
603,3.392717271
604,3.368494072
605,3.373667526
606,3.401342713
607,3.439397344
608,3.495691353
609,3.577839794
610,3.662207733
611,3.739555277
612,3.814654311
613,3.895101567
614,3.986321171
615,4.093018002
616,4.221893353
617,4.362992846
618,4.50212196
619,4.625379878
620,4.732639571
621,4.820157001
622,4.872839956
623,4.881786893
624,4.852880486
625,4.816492138
