age(kyr) mean(permil) sigma(permil)
36432.000000 1.104687 0.117832
36435.000000 1.100762 0.118514
36438.000000 1.095384 0.119324
36441.000000 1.089241 0.119977
36444.000000 1.081844 0.120619
36447.000000 1.073919 0.121244
36450.000000 1.066103 0.121809
36453.000000 1.058597 0.122285
36456.000000 1.051673 0.122788
36459.000000 1.045605 0.123308
36462.000000 1.040078 0.123841
36465.000000 1.034893 0.124243
36468.000000 1.029868 0.124675
36471.000000 1.024872 0.125195
36474.000000 1.020014 0.125758
36477.000000 1.014850 0.126410
36480.000000 1.009276 0.127218
36483.000000 1.003467 0.127960
36486.000000 0.997287 0.128618
36489.000000 0.991219 0.129058
36492.000000 0.984998 0.129428
36495.000000 0.979736 0.129536
36498.000000 0.974443 0.129358
36501.000000 0.969368 0.128994
36504.000000 0.965039 0.128700
36507.000000 0.961664 0.128349
36510.000000 0.959227 0.128026
36513.000000 0.957946 0.127880
36516.000000 0.958561 0.127943
36519.000000 0.960081 0.128002
36522.000000 0.962693 0.128092
36525.000000 0.966072 0.128167
36528.000000 0.970305 0.128315
36531.000000 0.974949 0.128303
36534.000000 0.979960 0.128082
36537.000000 0.984805 0.127749
36540.000000 0.989202 0.127308
36543.000000 0.993001 0.127092
36546.000000 0.995947 0.126986
36549.000000 0.998234 0.126904
36552.000000 0.999624 0.126968
36555.000000 0.999762 0.127136
36558.000000 0.998954 0.127580
36561.000000 0.996884 0.128129
36564.000000 0.993880 0.128627
36567.000000 0.989752 0.129093
36570.000000 0.984091 0.129473
36573.000000 0.977749 0.129637
36576.000000 0.970675 0.129579
36579.000000 0.964091 0.129323
36582.000000 0.958786 0.129076
36585.000000 0.955009 0.128941
36588.000000 0.953134 0.128826
36591.000000 0.953150 0.128759
36594.000000 0.955371 0.128881
36597.000000 0.959731 0.129282
36600.000000 0.964793 0.129693
36603.000000 0.970471 0.129876
36606.000000 0.976220 0.129757
36609.000000 0.981572 0.129323
36612.000000 0.985940 0.128796
36615.000000 0.988743 0.128536
36618.000000 0.989492 0.128477
36621.000000 0.987954 0.128814
36624.000000 0.984515 0.129178
36627.000000 0.979190 0.129751
36630.000000 0.972062 0.130682
36633.000000 0.963213 0.131860
36636.000000 0.953365 0.132882
36639.000000 0.942842 0.133689
36642.000000 0.932747 0.134110
36645.000000 0.923981 0.134119
36648.000000 0.916599 0.133951
36651.000000 0.911259 0.133621
36654.000000 0.907779 0.133329
36657.000000 0.905998 0.133275
36660.000000 0.904731 0.133535
36663.000000 0.903792 0.133816
36666.000000 0.902358 0.134046
36669.000000 0.901028 0.134236
36672.000000 0.899982 0.134438
36675.000000 0.898953 0.134605
36678.000000 0.897557 0.134704
36681.000000 0.895457 0.134827
36684.000000 0.892255 0.135070
36687.000000 0.888741 0.135300
36690.000000 0.885241 0.135546
36693.000000 0.881814 0.135767
36696.000000 0.879775 0.136012
36699.000000 0.878645 0.136357
36702.000000 0.878211 0.136653
36705.000000 0.878418 0.136888
36708.000000 0.879447 0.137172
36711.000000 0.881931 0.137472
36714.000000 0.885373 0.137762
36717.000000 0.889282 0.137912
