Time (ka)	Benthic d18O (per mil)	Standard error (per mil)
168.00	4.54	0.11
169.00	4.50	0.12
170.00	4.42	0.23
171.00	4.45	0.13
172.00	4.47	0.08
173.00	4.42	0.10
174.00	4.38	0.18
175.00	4.34	0.15
176.00	4.32	0.24
177.00	4.38	0.19
178.00	4.32	0.22
179.00	4.27	0.30
180.00	4.41	0.14
181.00	4.42	0.09
182.00	4.42	0.07
183.00	4.41	0.13
184.00	4.45	0.13
185.00	4.49	0.31
186.00	4.49	0.10
187.00	4.47	0.13
188.00	4.35	0.18
189.00	4.27	0.14
190.00	4.16	0.20
191.00	4.17	0.26
192.00	4.11	0.27
193.00	4.07	0.30
194.00	4.01	0.17
195.00	3.99	0.19
196.00	3.89	0.16
197.00	3.77	0.14
198.00	3.76	0.23
199.00	3.60	0.16
200.00	3.75	0.39
201.00	3.52	0.15
202.00	3.53	0.18
203.00	3.71	0.25
204.00	3.72	0.27
205.00	3.78	0.31
206.00	3.72	0.21
207.00	3.82	0.25
208.00	3.71	0.09
209.00	3.77	0.19
210.00	3.64	0.13
211.00	3.54	0.09
212.00	3.67	0.42
213.00	3.60	0.30
214.00	3.48	0.17
215.00	3.58	0.33
216.00	3.53	0.11
217.00	3.55	0.22
218.00	3.76	0.26
219.00	4.06	0.40
220.00	4.05	0.44
221.00	4.17	0.38
222.00	4.31	0.23
223.00	4.41	0.15
224.00	4.43	0.14
225.00	4.29	0.28
226.00	4.34	0.17
227.00	4.25	0.16
228.00	4.26	0.17
229.00	4.10	0.32
230.00	4.17	0.17
231.00	4.13	0.18
232.00	4.03	0.26
233.00	3.94	0.27
234.00	3.87	0.20
235.00	3.68	0.17
236.00	3.73	0.32
237.00	3.48	0.10
238.00	3.52	0.23
239.00	3.41	0.14
240.00	3.37	0.23
241.00	3.70	0.50
242.00	3.64	0.36
243.00	3.85	0.38
244.00	4.04	0.33
245.00	4.24	0.25
246.00	4.35	0.10
247.00	4.23	0.39
248.00	4.46	0.17
249.00	4.53	0.17
250.00	4.61	0.26
251.00	4.63	0.26
252.00	4.61	0.22
253.00	4.55	0.17
254.00	4.56	0.13
255.00	4.41	0.30
256.00	4.49	0.18
257.00	4.48	0.12
258.00	4.42	0.18
259.00	4.48	0.11
260.00	4.42	0.11
261.00	4.41	0.10
262.00	4.40	0.13
263.00	4.42	0.33
264.00	4.39	0.24
265.00	4.41	0.31
266.00	4.48	0.18
267.00	4.53	0.12
268.00	4.43	0.28
269.00	4.49	0.10
270.00	4.57	0.12
271.00	4.53	0.18
272.00	4.42	0.29
273.00	4.51	0.12
274.00	4.46	0.09
275.00	4.41	0.16
276.00	4.30	0.21
277.00	4.32	0.11
278.00	4.28	0.18
279.00	4.33	0.15
280.00	4.26	0.22
281.00	4.09	0.17
282.00	4.06	0.16
283.00	3.92	0.14
284.00	3.84	0.14
285.00	3.81	0.10
286.00	3.78	0.11
287.00	3.82	0.16
288.00	3.84	0.19
289.00	3.92	0.14
290.00	4.01	0.22
291.00	4.13	0.12
292.00	4.22	0.19
293.00	4.20	0.24
294.00	4.29	0.13
295.00	4.35	0.12
296.00	4.26	0.25
297.00	4.34	0.12
298.00	4.24	0.17
299.00	4.23	0.23
300.00	4.20	0.23
301.00	4.12	0.15
302.00	4.04	0.17
303.00	4.00	0.19
304.00	3.96	0.22
305.00	3.92	0.16
306.00	3.97	0.17
307.00	3.99	0.11
308.00	3.96	0.13
309.00	3.99	0.23
310.00	3.86	0.11
311.00	3.78	0.11
312.00	3.76	0.20
313.00	3.65	0.14
314.00	3.68	0.12
315.00	3.60	0.23
316.00	3.69	0.15
317.00	3.70	0.19
318.00	3.63	0.16
319.00	3.59	0.08
320.00	3.76	0.28
321.00	3.53	0.14
322.00	3.45	0.11
323.00	3.37	0.23
324.00	3.29	0.07
325.00	3.35	0.25
326.00	3.22	0.10
327.00	3.17	0.08
328.00	3.37	0.33
329.00	3.15	0.14
330.00	3.39	0.37
331.00	3.26	0.22
332.00	3.61	0.50
333.00	3.49	0.42
334.00	3.62	0.26
335.00	3.88	0.23
336.00	4.10	0.32
337.00	4.37	0.35
338.00	4.34	0.44
339.00	4.58	0.21
340.00	4.51	0.46
341.00	4.83	0.21
342.00	4.72	0.25
343.00	4.82	0.18
344.00	4.59	0.38
345.00	4.76	0.15
346.00	4.73	0.09
347.00	4.66	0.18
348.00	4.44	0.42
349.00	4.65	0.08
350.00	4.57	0.12
351.00	4.63	0.10
352.00	4.45	0.42
353.00	4.58	0.10
354.00	4.32	0.43
355.00	4.52	0.13
356.00	4.50	0.21
357.00	4.50	0.14
358.00	4.50	0.12
359.00	4.23	0.52
360.00	4.48	0.12
361.00	4.32	0.32
362.00	4.44	0.15
363.00	4.51	0.09
364.00	4.30	0.36
365.00	4.45	0.09
366.00	4.26	0.39
367.00	4.39	0.09
368.00	4.39	0.10
369.00	4.35	0.09
370.00	4.32	0.11
371.00	4.26	0.18
372.00	4.27	0.08
373.00	4.19	0.22
374.00	4.24	0.15
375.00	4.21	0.19
376.00	4.19	0.16
377.00	4.18	0.13
378.00	4.16	0.12
379.00	4.14	0.13
380.00	4.16	0.17
381.00	4.15	0.22
382.00	4.13	0.32
383.00	4.08	0.21
384.00	4.03	0.24
385.00	4.11	0.34
386.00	4.03	0.09
387.00	4.03	0.28
388.00	3.93	0.11
389.00	3.86	0.10
390.00	3.86	0.12
391.00	3.90	0.27
392.00	3.89	0.27
393.00	3.77	0.19
394.00	3.88	0.29
395.00	3.67	0.17
396.00	3.65	0.20
397.00	3.53	0.13
398.00	3.49	0.16
399.00	3.49	0.44
400.00	3.35	0.08
401.00	3.33	0.20
402.00	3.18	0.10
403.00	3.20	0.13
404.00	3.17	0.12
405.00	3.15	0.10
406.00	3.15	0.10
407.00	3.37	0.38
408.00	3.19	0.12
409.00	3.17	0.17
410.00	3.20	0.11
411.00	3.29	0.11
412.00	3.31	0.14
413.00	3.32	0.10
414.00	3.46	0.25
415.00	3.40	0.13
416.00	3.44	0.14
417.00	3.54	0.13
418.00	3.60	0.11
419.00	3.67	0.21
420.00	3.72	0.09
421.00	3.78	0.14
422.00	3.91	0.32
423.00	3.85	0.12
424.00	3.85	0.26
425.00	4.12	0.38
426.00	4.07	0.30
427.00	4.11	0.39
428.00	4.52	0.36
429.00	4.82	0.23
430.00	4.68	0.38
431.00	5.08	0.16
432.00	4.97	0.32
433.00	5.09	0.19
434.00	5.09	0.15
435.00	5.03	0.21
436.00	5.02	0.17
437.00	4.67	0.47
438.00	4.92	0.27
439.00	4.98	0.15
440.00	4.67	0.44
441.00	4.90	0.11
442.00	4.89	0.24
443.00	4.89	0.13
444.00	4.75	0.25
445.00	4.83	0.24
446.00	4.81	0.14
447.00	4.59	0.48
448.00	4.75	0.10
449.00	4.78	0.10
450.00	4.44	0.45
451.00	4.69	0.12
452.00	4.62	0.11
453.00	4.54	0.23
454.00	4.59	0.12
455.00	4.37	0.33
456.00	4.58	0.14
457.00	4.56	0.11
458.00	4.35	0.36
459.00	4.53	0.14
460.00	4.44	0.28
461.00	4.51	0.14
462.00	4.48	0.19
463.00	4.52	0.11
464.00	4.43	0.22
465.00	4.47	0.10
466.00	4.35	0.28
467.00	4.37	0.20
468.00	4.34	0.18
469.00	4.27	0.21
470.00	4.26	0.19
471.00	4.24	0.25
472.00	4.16	0.27
473.00	4.30	0.17
474.00	4.34	0.07
475.00	4.28	0.11
476.00	4.08	0.30
477.00	4.11	0.23
478.00	4.08	0.19
479.00	3.98	0.15
480.00	3.99	0.10
481.00	3.99	0.11
482.00	3.87	0.11
483.00	3.84	0.11
484.00	3.84	0.12
485.00	3.78	0.18
486.00	3.71	0.12
487.00	3.74	0.17
488.00	3.71	0.09
489.00	3.65	0.11
490.00	3.61	0.14
491.00	3.66	0.42
492.00	3.66	0.14
493.00	3.67	0.11
494.00	3.85	0.24
495.00	3.77	0.07
496.00	3.77	0.19
497.00	3.74	0.07
498.00	3.80	0.19
499.00	3.81	0.18
500.00	3.81	0.14
501.00	3.75	0.07
502.00	3.80	0.16
503.00	3.91	0.24
504.00	3.89	0.22
505.00	3.92	0.07
506.00	4.00	0.17
507.00	4.01	0.09
508.00	4.07	0.17
509.00	4.07	0.11
510.00	4.18	0.30
511.00	4.19	0.13
512.00	4.19	0.08
513.00	4.19	0.10
514.00	4.12	0.12
515.00	4.19	0.11
516.00	4.11	0.15
517.00	4.08	0.16
518.00	4.04	0.14
519.00	4.12	0.32
520.00	3.96	0.11
521.00	3.99	0.11
522.00	3.96	0.20
523.00	3.87	0.15
524.00	3.88	0.10
525.00	3.99	0.49
526.00	3.84	0.23
527.00	3.95	0.13
528.00	3.87	0.21
529.00	3.97	0.13
530.00	4.03	0.14
531.00	4.09	0.27
532.00	4.03	0.07
533.00	4.11	0.12
534.00	4.04	0.34
535.00	4.13	0.12
536.00	4.32	0.22
537.00	4.44	0.21
538.00	4.41	0.29
539.00	4.48	0.23
540.00	4.56	0.28
541.00	4.68	0.15
542.00	4.49	0.25
543.00	4.46	0.32
544.00	4.55	0.22
545.00	4.54	0.19
546.00	4.62	0.15
547.00	4.61	0.17
548.00	4.63	0.21
549.00	4.56	0.19
550.00	4.57	0.23
551.00	4.49	0.16
552.00	4.52	0.12
553.00	4.43	0.18
554.00	4.41	0.18
555.00	4.41	0.14
556.00	4.37	0.12
557.00	4.37	0.14
558.00	4.28	0.33
559.00	4.25	0.06
560.00	4.15	0.12
561.00	4.18	0.12
562.00	4.10	0.13
563.00	4.05	0.24
564.00	3.98	0.16
565.00	3.96	0.15
566.00	3.78	0.18
567.00	3.87	0.25
568.00	3.97	0.10
569.00	4.04	0.18
570.00	3.92	0.15
571.00	3.80	0.17
572.00	3.68	0.15
573.00	3.64	0.19
574.00	3.67	0.39
575.00	3.44	0.08
576.00	3.47	0.12
577.00	3.39	0.12
578.00	3.43	0.15
579.00	3.58	0.26
580.00	3.49	0.17
581.00	3.73	0.29
582.00	4.12	0.22
583.00	4.35	0.20
584.00	4.18	0.28
585.00	4.30	0.16
586.00	4.16	0.21
587.00	4.23	0.13
588.00	4.14	0.17
589.00	4.13	0.07
590.00	4.15	0.12
591.00	3.96	0.20
592.00	4.06	0.11
593.00	4.16	0.16
594.00	4.04	0.11
595.00	3.99	0.21
596.00	3.92	0.12
597.00	3.88	0.15
598.00	3.93	0.21
599.00	4.08	0.16
600.00	3.71	0.47
602.00	4.26	0.39
604.00	3.97	0.14
606.00	3.82	0.15
608.00	3.78	0.14
610.00	3.64	0.16
612.00	3.46	0.09
614.00	3.55	0.08
616.00	3.64	0.16
618.00	3.62	0.41
620.00	3.85	0.22
622.00	4.32	0.15
624.00	4.85	0.27
626.00	4.86	0.29
628.00	5.11	0.26
630.00	5.14	0.15
632.00	4.98	0.18
634.00	4.84	0.23
636.00	4.95	0.10
638.00	4.80	0.30
640.00	4.92	0.14
642.00	4.77	0.21
644.00	4.76	0.11
646.00	4.68	0.14
648.00	4.70	0.23
650.00	4.68	0.25
652.00	4.62	0.24
654.00	4.65	0.09
656.00	4.37	0.42
658.00	4.61	0.10
660.00	4.60	0.11
662.00	4.55	0.20
664.00	4.53	0.33
666.00	4.52	0.13
668.00	4.49	0.20
670.00	4.46	0.16
672.00	4.45	0.16
674.00	4.38	0.15
676.00	4.38	0.13
678.00	4.16	0.19
680.00	4.03	0.31
682.00	4.23	0.14
684.00	4.07	0.19
686.00	4.11	0.22
688.00	3.90	0.17
690.00	3.77	0.32
692.00	3.67	0.13
694.00	3.72	0.20
696.00	3.63	0.13
698.00	3.61	0.18
700.00	3.82	0.36
702.00	3.80	0.18
704.00	3.87	0.14
706.00	3.84	0.15
708.00	3.98	0.08
710.00	3.99	0.48
712.00	4.06	0.15
714.00	4.17	0.24
716.00	4.35	0.19
718.00	4.61	0.25
720.00	4.64	0.22
722.00	4.63	0.18
724.00	4.46	0.09
726.00	4.35	0.08
728.00	4.19	0.12
730.00	4.10	0.18
732.00	4.00	0.30
734.00	4.08	0.12
736.00	4.16	0.17
738.00	4.23	0.14
740.00	4.18	0.29
742.00	4.22	0.10
744.00	4.36	0.42
746.00	4.60	0.22
748.00	4.58	0.17
750.00	4.51	0.17
752.00	4.38	0.26
754.00	4.47	0.09
756.00	4.30	0.10
758.00	4.22	0.27
760.00	4.23	0.12
762.00	4.11	0.16
764.00	3.96	0.13
766.00	4.05	0.27
768.00	3.96	0.20
770.00	3.89	0.14
772.00	3.71	0.11
774.00	3.70	0.17
776.00	3.64	0.13
778.00	3.76	0.34
780.00	3.55	0.08
782.00	3.58	0.14
784.00	3.44	0.16
786.00	3.63	0.26
788.00	3.61	0.15
790.00	3.95	0.30
792.00	4.14	0.17
794.00	4.42	0.34
796.00	4.48	0.38
798.00	4.72	0.15
800.00	4.68	0.12
802.00	4.58	0.09
804.00	4.55	0.11
806.00	4.45	0.12
808.00	4.40	0.08
810.00	4.29	0.15
812.00	4.20	0.19
814.00	3.93	0.37
816.00	4.06	0.12
818.00	3.85	0.13
820.00	3.84	0.15
822.00	3.73	0.14
824.00	3.75	0.23
826.00	4.07	0.28
828.00	3.95	0.17
830.00	3.94	0.12
832.00	4.00	0.16
834.00	3.82	0.10
836.00	3.74	0.18
838.00	3.95	0.18
840.00	3.79	0.09
842.00	3.81	0.22
844.00	3.72	0.11
846.00	3.64	0.05
848.00	3.51	0.11
850.00	3.44	0.12
852.00	3.76	0.17
854.00	3.78	0.27
856.00	3.59	0.10
858.00	3.50	0.10
860.00	3.40	0.11
862.00	3.57	0.29
864.00	3.48	0.27
866.00	3.73	0.39
868.00	4.19	0.26
870.00	4.54	0.16
872.00	4.72	0.14
874.00	4.65	0.30
876.00	4.70	0.17
878.00	4.64	0.13
880.00	4.54	0.12
882.00	4.32	0.42
884.00	4.52	0.20
886.00	4.46	0.10
888.00	4.43	0.19
890.00	4.45	0.12
892.00	4.33	0.26
894.00	4.39	0.10
896.00	4.30	0.13
898.00	4.15	0.18
900.00	4.10	0.27
902.00	4.11	0.13
904.00	4.08	0.11
906.00	4.05	0.10
908.00	3.99	0.22
910.00	4.05	0.10
912.00	4.08	0.14
914.00	4.08	0.17
916.00	4.04	0.36
918.00	4.45	0.16
920.00	4.58	0.22
922.00	4.47	0.14
924.00	4.33	0.11
926.00	4.21	0.15
928.00	4.09	0.25
930.00	4.01	0.27
932.00	3.98	0.11
934.00	3.90	0.20
936.00	3.84	0.14
938.00	3.70	0.17
940.00	3.69	0.13
942.00	3.58	0.12
944.00	3.45	0.10
946.00	3.51	0.23
948.00	3.38	0.11
950.00	3.35	0.08
952.00	3.28	0.13
954.00	3.36	0.15
956.00	3.29	0.15
958.00	3.44	0.33
960.00	4.04	0.36
962.00	4.27	0.38
964.00	4.51	0.20
966.00	4.32	0.26
968.00	4.23	0.21
970.00	4.14	0.12
972.00	3.88	0.12
974.00	3.91	0.18
976.00	3.80	0.09
978.00	3.67	0.14
980.00	3.77	0.20
982.00	3.99	0.31
984.00	4.10	0.17
986.00	4.22	0.17
988.00	4.09	0.09
990.00	3.99	0.12
992.00	3.92	0.09
994.00	3.80	0.21
996.00	3.80	0.07
998.00	3.78	0.19
1000.00	3.86	0.11
1002.00	4.13	0.16
1004.00	4.35	0.14
1006.00	4.25	0.13
1008.00	4.16	0.14
1010.00	4.08	0.19
1012.00	4.04	0.14
1014.00	3.89	0.13
1016.00	3.74	0.31
1018.00	3.87	0.17
1020.00	3.73	0.11
1022.00	3.64	0.24
1024.00	3.67	0.22
1026.00	3.80	0.40
1028.00	3.71	0.11
1030.00	3.79	0.13
1032.00	4.01	0.16
1034.00	4.26	0.11
1036.00	4.33	0.14
1038.00	4.43	0.17
1040.00	4.30	0.25
1042.00	4.31	0.33
1044.00	4.41	0.15
1046.00	4.34	0.17
1048.00	4.29	0.19
1050.00	4.27	0.15
1052.00	4.19	0.15
1054.00	4.19	0.11
1056.00	4.07	0.31
1058.00	4.11	0.12
1060.00	3.87	0.20
1062.00	3.74	0.28
1064.00	3.46	0.20
1066.00	3.33	0.31
1068.00	3.26	0.16
1070.00	3.30	0.11
1072.00	3.29	0.30
1074.00	3.32	0.08
1076.00	3.56	0.33
1078.00	3.52	0.11
1080.00	3.57	0.24
1082.00	3.65	0.19
1084.00	3.68	0.10
1086.00	3.74	0.10
1088.00	3.82	0.22
1090.00	3.84	0.16
1092.00	3.90	0.12
1094.00	3.95	0.15
1096.00	4.03	0.15
1098.00	4.12	0.09
1100.00	4.30	0.15
1102.00	4.14	0.13
1104.00	4.05	0.11
1106.00	3.81	0.17
1108.00	3.66	0.26
1110.00	3.65	0.21
1112.00	3.71	0.11
1114.00	3.89	0.08
1116.00	4.06	0.16
1118.00	4.13	0.07
1120.00	4.20	0.21
1122.00	4.47	0.20
1124.00	4.38	0.21
1126.00	4.48	0.13
1128.00	4.42	0.10
1130.00	4.27	0.10
1132.00	4.08	0.17
1134.00	3.95	0.27
1136.00	4.17	0.09
1138.00	3.93	0.17
1140.00	3.93	0.23
1142.00	3.85	0.11
1144.00	3.91	0.12
1146.00	3.78	0.13
1148.00	3.87	0.30
1150.00	3.70	0.11
1152.00	3.65	0.11
1154.00	3.60	0.20
1156.00	3.61	0.15
1158.00	3.55	0.12
1160.00	3.60	0.17
1162.00	3.48	0.12
1164.00	3.54	0.11
1166.00	3.49	0.07
1168.00	3.47	0.18
1170.00	3.58	0.12
1172.00	3.66	0.11
1174.00	3.70	0.12
1176.00	3.67	0.28
1178.00	3.61	0.12
1180.00	3.63	0.30
1182.00	3.63	0.10
1184.00	3.70	0.10
1186.00	3.76	0.22
1188.00	3.64	0.09
1190.00	3.78	0.20
1192.00	4.09	0.16
1194.00	4.24	0.10
1196.00	4.40	0.08
1198.00	4.42	0.21
1200.00	4.58	0.13
1202.00	4.34	0.28
1204.00	4.46	0.10
1206.00	4.23	0.35
1208.00	4.44	0.09
1210.00	4.31	0.10
1212.00	3.99	0.22
1214.00	4.17	0.07
1216.00	4.04	0.18
1218.00	3.78	0.41
1220.00	4.05	0.11
1222.00	3.80	0.19
1224.00	3.71	0.11
1226.00	3.50	0.14
1228.00	3.41	0.17
1230.00	3.31	0.09
1232.00	3.34	0.17
1234.00	3.32	0.11
1236.00	3.32	0.12
1238.00	3.29	0.17
1240.00	3.37	0.26
1242.00	3.55	0.37
1244.00	3.62	0.31
1246.00	4.18	0.09
1248.00	4.37	0.11
1250.00	4.37	0.16
1252.00	4.28	0.35
1254.00	4.40	0.09
1256.00	4.22	0.13
1258.00	4.15	0.09
1260.00	4.00	0.29
1262.00	4.07	0.08
1264.00	3.92	0.13
1266.00	3.90	0.08
1268.00	3.81	0.11
1270.00	3.74	0.15
1272.00	3.63	0.14
1274.00	3.66	0.06
1276.00	3.60	0.11
1278.00	3.69	0.17
1280.00	3.66	0.21
1282.00	3.65	0.33
1284.00	3.89	0.11
1286.00	4.04	0.22
1288.00	4.30	0.13
1290.00	4.31	0.13
1292.00	4.18	0.08
1294.00	3.89	0.20
1296.00	4.17	0.13
1298.00	4.03	0.12
1300.00	3.94	0.36
1302.00	3.94	0.14
1304.00	3.72	0.19
1306.00	3.80	0.15
1308.00	3.68	0.10
1310.00	3.59	0.11
1312.00	3.55	0.33
1314.00	3.51	0.16
1316.00	3.46	0.30
1318.00	3.67	0.30
1320.00	3.74	0.15
1322.00	3.79	0.12
1324.00	3.89	0.16
1326.00	3.92	0.20
1328.00	4.09	0.07
1330.00	4.09	0.07
1332.00	4.10	0.23
1334.00	4.11	0.12
1336.00	4.20	0.08
1338.00	4.19	0.12
1340.00	4.08	0.24
1342.00	3.98	0.13
1344.00	3.72	0.21
1346.00	3.63	0.33
1348.00	3.48	0.23
1350.00	3.38	0.16
1352.00	3.29	0.20
1354.00	3.33	0.12
1356.00	3.30	0.10
1358.00	3.41	0.23
1360.00	3.57	0.08
1362.00	3.70	0.21
1364.00	3.84	0.08
1366.00	3.92	0.13
1368.00	4.04	0.11
1370.00	4.13	0.10
1372.00	4.15	0.04
1374.00	4.09	0.19
1376.00	4.08	0.33
1378.00	4.28	0.08
1380.00	4.02	0.10
1382.00	3.94	0.17
1384.00	3.88	0.08
1386.00	3.71	0.07
1388.00	3.56	0.18
1390.00	3.62	0.16
1392.00	3.49	0.12
1394.00	3.73	0.39
1396.00	3.49	0.16
1398.00	3.53	0.06
1400.00	3.57	0.23
1402.00	3.69	0.12
1404.00	3.80	0.19
1406.00	4.01	0.18
1408.00	4.06	0.10
1410.00	4.19	0.09
1412.00	4.21	0.08
1414.00	4.26	0.14
1416.00	4.07	0.32
1418.00	3.86	0.49
1420.00	4.02	0.06
1422.00	4.01	0.20
1424.00	3.85	0.07
1426.00	3.76	0.10
1428.00	3.61	0.12
1430.00	3.47	0.08
1432.00	3.37	0.11
1434.00	3.31	0.13
1436.00	3.28	0.21
1438.00	3.25	0.10
1440.00	3.30	0.07
1442.00	3.27	0.29
1444.00	3.31	0.09
1446.00	3.25	0.25
1448.00	3.29	0.28
1450.00	3.25	0.16
1452.00	3.44	0.39
1454.00	4.22	0.37
1456.00	4.32	0.25
1458.00	4.21	0.26
1460.00	4.35	0.08
1462.00	4.12	0.14
1464.00	4.04	0.09
1466.00	3.82	0.14
1468.00	3.79	0.15
1470.00	3.67	0.42
1472.00	3.47	0.08
1474.00	3.42	0.11
1476.00	3.42	0.17
1478.00	3.43	0.22
1480.00	3.39	0.08
1482.00	3.37	0.03
1484.00	3.47	0.41
1486.00	3.48	0.20
1488.00	3.30	0.09
1490.00	3.30	0.18
1492.00	3.46	0.37
1494.00	4.08	0.16
1496.00	4.39	0.15
1498.00	4.39	0.13
1500.00	4.25	0.23
1502.50	4.25	0.20
1505.00	4.29	0.16
1507.50	4.16	0.09
1510.00	4.01	0.07
1512.50	3.72	0.24
1515.00	3.78	0.15
1517.50	3.70	0.10
1520.00	3.61	0.12
1522.50	3.68	0.17
1525.00	3.95	0.14
1527.50	4.00	0.15
1530.00	4.10	0.31
1532.50	4.34	0.12
1535.00	4.41	0.25
1537.50	4.31	0.26
1540.00	4.38	0.16
1542.50	4.22	0.07
1545.00	4.02	0.16
1547.50	3.92	0.14
1550.00	3.71	0.31
1552.50	3.80	0.23
1555.00	3.83	0.26
1557.50	3.81	0.24
1560.00	3.77	0.22
1562.50	3.61	0.21
1565.00	3.59	0.22
1567.50	3.65	0.12
1570.00	3.84	0.13
1572.50	4.13	0.17
1575.00	4.22	0.14
1577.50	4.24	0.10
1580.00	4.12	0.10
1582.50	4.03	0.25
1585.00	3.91	0.12
1587.50	3.82	0.12
1590.00	3.75	0.19
1592.50	3.97	0.34
1595.00	3.78	0.15
1597.50	3.65	0.06
1600.00	3.56	0.11
1602.50	3.49	0.24
1605.00	3.49	0.18
1607.50	3.71	0.15
1610.00	3.71	0.28
1612.50	3.91	0.06
1615.00	3.84	0.13
1617.50	3.78	0.20
1620.00	3.67	0.09
1622.50	3.63	0.11
1625.00	3.75	0.12
1627.50	3.86	0.34
1630.00	3.60	0.23
1632.50	3.56	0.19
1635.00	3.61	0.31
1637.50	3.54	0.13
1640.00	3.85	0.32
1642.50	3.78	0.35
1645.00	3.91	0.30
1647.50	4.11	0.17
1650.00	4.26	0.17
1652.50	4.22	0.15
1655.00	4.29	0.09
1657.50	4.13	0.15
1660.00	4.16	0.16
1662.50	4.12	0.16
1665.00	4.14	0.11
1667.50	3.94	0.22
1670.00	3.93	0.11
1672.50	3.76	0.07
1675.00	3.64	0.12
1677.50	3.69	0.16
1680.00	3.63	0.17
1682.50	3.63	0.09
1685.00	3.62	0.09
1687.50	3.66	0.24
1690.00	3.76	0.18
1692.50	3.82	0.19
1695.00	3.89	0.12
1697.50	3.82	0.09
1700.00	3.99	0.34
1702.50	4.24	0.14
1705.00	4.14	0.16
