age(kyr) mean(permil) sigma(permil)
45.500000 -1.600247 0.204785
45.600000 -1.601554 0.200602
45.700000 -1.603589 0.199433
45.800000 -1.604609 0.200032
45.900000 -1.604142 0.202426
46.000000 -1.607457 0.202395
46.100000 -1.611023 0.204338
46.200000 -1.614289 0.207329
46.300000 -1.616870 0.209603
46.400000 -1.619285 0.213984
46.500000 -1.617773 0.208815
46.600000 -1.616945 0.207368
46.700000 -1.618105 0.206695
46.800000 -1.619796 0.208347
46.900000 -1.622557 0.214870
47.000000 -1.628811 0.214972
47.100000 -1.634594 0.215997
47.200000 -1.636016 0.215457
47.300000 -1.638311 0.214434
47.400000 -1.641534 0.217731
47.500000 -1.643067 0.216681
47.600000 -1.643867 0.216246
47.700000 -1.648370 0.215892
47.800000 -1.652353 0.216762
47.900000 -1.654478 0.219920
48.000000 -1.656343 0.221342
48.100000 -1.659017 0.227356
48.200000 -1.658944 0.230275
48.300000 -1.654628 0.230435
48.400000 -1.649803 0.225391
48.500000 -1.644102 0.219874
48.600000 -1.636670 0.220109
48.700000 -1.630292 0.224365
48.800000 -1.632944 0.226500
48.900000 -1.639398 0.227737
49.000000 -1.649941 0.226659
49.100000 -1.664374 0.225240
49.200000 -1.681533 0.225685
49.300000 -1.690962 0.225616
49.400000 -1.696488 0.230055
49.500000 -1.696890 0.233209
49.600000 -1.693911 0.239811
49.700000 -1.688817 0.239655
49.800000 -1.689129 0.236218
49.900000 -1.691479 0.240779
50.000000 -1.697746 0.239837
50.100000 -1.705511 0.244305
50.200000 -1.711651 0.242218
50.300000 -1.713812 0.237640
50.400000 -1.715816 0.238712
50.500000 -1.715918 0.236910
50.600000 -1.714752 0.241173
50.700000 -1.715417 0.240627
50.800000 -1.716669 0.239914
50.900000 -1.716515 0.241985
51.000000 -1.715564 0.242309
51.100000 -1.715925 0.244704
51.200000 -1.718100 0.238812
51.300000 -1.722343 0.235666
51.400000 -1.727688 0.239435
51.500000 -1.733203 0.243468
51.600000 -1.737447 0.254157
51.700000 -1.734949 0.252560
51.800000 -1.727881 0.245626
51.900000 -1.720191 0.242186
52.000000 -1.716270 0.238807
52.100000 -1.713050 0.241106
52.200000 -1.716832 0.244459
52.300000 -1.725767 0.246452
52.400000 -1.735180 0.250537
52.500000 -1.739505 0.250465
52.600000 -1.745423 0.252581
52.700000 -1.749727 0.252487
52.800000 -1.752402 0.255268
52.900000 -1.754753 0.260245
53.000000 -1.762188 0.263800
53.100000 -1.767648 0.272108
53.200000 -1.772890 0.269048
53.300000 -1.777804 0.264486
53.400000 -1.783853 0.263357
53.500000 -1.783871 0.259995
53.600000 -1.784901 0.263386
53.700000 -1.783910 0.263576
53.800000 -1.783822 0.264392
53.900000 -1.783507 0.270618
54.000000 -1.791570 0.269309
54.100000 -1.800241 0.274145
54.200000 -1.812721 0.279535
54.300000 -1.825045 0.285001
54.400000 -1.835615 0.293261
54.500000 -1.836728 0.284644
54.600000 -1.835495 0.279447
54.700000 -1.830739 0.279921
54.800000 -1.823725 0.283113
54.900000 -1.816971 0.285063
55.000000 -1.813875 0.282984
55.100000 -1.810825 0.286794
55.200000 -1.808705 0.294025
55.300000 -1.805870 0.293986
55.400000 -1.806583 0.287794
55.500000 -1.810055 0.284819
55.600000 -1.814330 0.290318
55.700000 -1.817387 0.296455
55.800000 -1.823887 0.299150
55.900000 -1.823248 0.293835
56.000000 -1.813490 0.289831
56.100000 -1.802128 0.290705
56.200000 -1.789805 0.293282
56.300000 -1.772405 0.295321
56.400000 -1.758567 0.300771
56.500000 -1.754726 0.297429
56.600000 -1.753240 0.295800
56.700000 -1.756095 0.295418
56.800000 -1.764647 0.295871
56.900000 -1.774490 0.299134
57.000000 -1.777024 0.298828
57.100000 -1.777547 0.305548
57.200000 -1.774005 0.314463
57.300000 -1.765759 0.314422
57.400000 -1.755286 0.313616
57.500000 -1.753231 0.310274
57.600000 -1.753008 0.311998
57.700000 -1.754436 0.320133
57.800000 -1.760618 0.318991
57.900000 -1.770761 0.321006
58.000000 -1.773899 0.321402
58.100000 -1.775509 0.324974
58.200000 -1.776853 0.322848
58.300000 -1.773637 0.320118
58.400000 -1.765017 0.321129
58.500000 -1.756891 0.320818
58.600000 -1.751095 0.331996
58.700000 -1.747137 0.341151
58.800000 -1.748559 0.329611
58.900000 -1.756484 0.325751
59.000000 -1.769600 0.322950
59.100000 -1.782090 0.335105
59.200000 -1.794067 0.353710
59.300000 -1.804317 0.347155
59.400000 -1.810122 0.339469
59.500000 -1.814233 0.325830
59.600000 -1.817621 0.323104
59.700000 -1.819695 0.324028
59.800000 -1.815972 0.318513
59.900000 -1.812387 0.316021
60.000000 -1.805325 0.313974
60.100000 -1.798024 0.318611
60.200000 -1.791670 0.324618
60.300000 -1.795376 0.318980
60.400000 -1.800672 0.319405
60.500000 -1.806763 0.319996
60.600000 -1.812285 0.324179
60.700000 -1.816352 0.324484
60.800000 -1.807728 0.314791
60.900000 -1.794386 0.311748
61.000000 -1.784303 0.313862
61.100000 -1.775285 0.324038
61.200000 -1.765275 0.334234
61.300000 -1.765482 0.327454
61.400000 -1.773781 0.315647
61.500000 -1.776230 0.305519
61.600000 -1.776561 0.302644
61.700000 -1.780325 0.302907
61.800000 -1.781942 0.306186
61.900000 -1.776059 0.309457
62.000000 -1.773454 0.311454
62.100000 -1.773109 0.313377
62.200000 -1.768107 0.311417
62.300000 -1.757894 0.301644
62.400000 -1.750590 0.300389
62.500000 -1.744157 0.303657
62.600000 -1.736306 0.311165
62.700000 -1.731728 0.312334
62.800000 -1.732009 0.303715
62.900000 -1.729464 0.302463
63.000000 -1.720766 0.302730
63.100000 -1.709435 0.309526
63.200000 -1.696716 0.302703
63.300000 -1.679991 0.294226
63.400000 -1.666272 0.294049
63.500000 -1.659495 0.294192
63.600000 -1.656485 0.295942
63.700000 -1.649861 0.285798
63.800000 -1.643069 0.281229
63.900000 -1.632635 0.279313
64.000000 -1.616447 0.272040
64.100000 -1.597256 0.268020
64.200000 -1.581916 0.265304
64.300000 -1.568258 0.263619
64.400000 -1.556726 0.263726
64.500000 -1.547398 0.258780
64.600000 -1.539724 0.257019
64.700000 -1.532072 0.257483
64.800000 -1.525583 0.254808
64.900000 -1.520262 0.250676
65.000000 -1.515799 0.244231
65.100000 -1.511331 0.241541
65.200000 -1.504726 0.242751
65.300000 -1.496506 0.240907
65.400000 -1.486709 0.238226
65.500000 -1.477651 0.233581
65.600000 -1.468382 0.232857
65.700000 -1.463977 0.232573
65.800000 -1.464622 0.231413
65.900000 -1.467304 0.229442
66.000000 -1.469990 0.226776
66.100000 -1.474811 0.224801
66.200000 -1.475209 0.223316
66.300000 -1.467168 0.222264
66.400000 -1.457882 0.219117
66.500000 -1.447603 0.217784
66.600000 -1.435882 0.215353
66.700000 -1.428516 0.214759
66.800000 -1.430384 0.210815
66.900000 -1.434615 0.210069
67.000000 -1.441328 0.212104
67.100000 -1.450330 0.215126
67.200000 -1.456304 0.217219
67.300000 -1.457622 0.215331
67.400000 -1.458345 0.213503
67.500000 -1.460231 0.213455
67.600000 -1.460112 0.212223
67.700000 -1.462007 0.212519
67.800000 -1.465935 0.213318
67.900000 -1.469260 0.211192
