age(kyr)	mean(permil)	
471	4.223923	0.22
472	4.217671	0.22
473	4.204242	0.22
474	4.183427	0.22
475	4.15446	0.22
476	4.121531	0.22
477	4.083754	0.22
478	4.040127	0.22
479	3.988994	0.22
480	3.930965	0.22
481	3.879515	0.22
482	3.827716	0.22
483	3.773052	0.22
484	3.724225	0.22
485	3.682306	0.22
486	3.64355	0.22
487	3.603102	0.22
488	3.559826	0.22
489	3.513612	0.22
490	3.479395	0.22
491	3.459463	0.22
492	3.458464	0.22
493	3.478432	0.22
494	3.51234	0.22
495	3.560287	0.22
496	3.610323	0.22
497	3.645125	0.22
498	3.662672	0.22
499	3.669532	0.22
500	3.671215	0.22
501	3.670751	0.22
502	3.68046	0.22
503	3.707402	0.22
504	3.754167	0.22
505	3.811444	0.22
506	3.873102	0.22
507	3.936236	0.22
508	3.990179	0.22
509	4.030946	0.22
510	4.061423	0.22
511	4.078513	0.22
512	4.080796	0.22
513	4.072541	0.22
514	4.05417	0.22
515	4.028583	0.22
516	3.996949	0.22
517	3.962873	0.22
518	3.929168	0.22
519	3.899427	0.22
520	3.876159	0.22
521	3.861505	0.22
522	3.852858	0.22
523	3.859009	0.22
524	3.871831	0.22
525	3.889967	0.22
526	3.910362	0.22
527	3.931285	0.22
528	3.948791	0.22
529	3.964648	0.22
530	3.9895	0.22
531	4.02793	0.22
532	4.07858	0.22
533	4.12914	0.22
534	4.174108	0.22
535	4.209967	0.22
536	4.237245	0.22
537	4.257959	0.22
538	4.272433	0.22
539	4.278132	0.22
540	4.282483	0.22
541	4.286516	0.22
542	4.287328	0.22
543	4.279135	0.22
544	4.26275	0.22
545	4.255201	0.22
546	4.268217	0.22
547	4.270446	0.22
548	4.257577	0.22
549	4.231648	0.22
550	4.2046	0.22
551	4.182623	0.22
552	4.159553	0.22
553	4.131635	0.22
554	4.098035	0.22
555	4.064085	0.22
556	4.028658	0.22
557	3.991283	0.22
558	3.956947	0.22
559	3.916839	0.22
560	3.875016	0.22
561	3.839444	0.22
562	3.813034	0.22
563	3.776013	0.22
564	3.739084	0.22
565	3.719104	0.22
566	3.713168	0.22
567	3.707635	0.22
568	3.691895	0.22
569	3.663278	0.22
570	3.617859	0.22
571	3.565626	0.22
572	3.505154	0.22
573	3.442171	0.22
574	3.394264	0.22
575	3.37322	0.22
576	3.37892	0.22
577	3.416047	0.22
578	3.488273	0.22
579	3.591923	0.22
580	3.705239	0.22
581	3.806973	0.22
582	3.883879	0.22
583	3.933525	0.22
584	3.970256	0.22
585	4.002666	0.22
586	4.023547	0.22
587	4.024823	0.22
588	4.005502	0.22
589	3.964286	0.22
590	3.914035	0.22
591	3.869393	0.22
592	3.833435	0.22
593	3.808123	0.22
594	3.794406	0.22
595	3.794813	0.22
596	3.801518	0.22
597	3.808808	0.22
598	3.809158	0.22
599	3.798235	0.22
600	3.779432	0.22
601	3.765088	0.22
602	3.756017	0.26
603	3.749586	0.26
604	3.738734	0.26
605	3.720608	0.26
606	3.694286	0.26
607	3.658467	0.26
608	3.613582	0.26
609	3.566563	0.26
610	3.526471	0.26
611	3.498848	0.26
612	3.489844	0.26
613	3.501471	0.26
614	3.531605	0.26
615	3.571984	0.26
616	3.62394	0.26
617	3.691759	0.26
618	3.779402	0.26
619	3.879926	0.26
620	3.989411	0.26
621	4.106982	0.26
622	4.223971	0.26
623	4.336494	0.26
624	4.444911	0.26
625	4.541324	0.26
626	4.625301	0.26
627	4.693361	0.26
628	4.734823	0.26
629	4.753393	0.26
630	4.757059	0.26
631	4.749196	0.26
632	4.731075	0.26
633	4.710338	0.26
634	4.692609	0.26
635	4.677951	0.26
636	4.665487	0.26
637	4.655236	0.26
638	4.644687	0.26
639	4.636993	0.26
640	4.625864	0.26
641	4.61114	0.26
642	4.598391	0.26
643	4.590167	0.26
644	4.580325	0.26
645	4.569031	0.26
646	4.554927	0.26
647	4.537999	0.26
648	4.522387	0.26
649	4.510666	0.26
650	4.5885705	0.26
651	4.57402399	0.26
652	4.555926539	0.26
653	4.538690346	0.26
654	4.520164597	0.26
655	4.498293673	0.26
656	4.475094817	0.26
657	4.457086181	0.26
658	4.445684906	0.26
659	4.4400973	0.26
660	4.438351188	0.26
661	4.436690982	0.26
662	4.430826285	0.26
663	4.420587427	0.26
664	4.403071703	0.26
665	4.379403785	0.26
666	4.359484707	0.26
667	4.345216385	0.26
668	4.335425385	0.26
