age(kyr) mean(permil) sigma(permil)
2012.000000 3.672655 0.130947
2013.000000 3.656277 0.130766
2014.000000 3.640827 0.130420
2015.000000 3.620782 0.130538
2016.000000 3.597937 0.130515
2017.000000 3.574928 0.130909
2018.000000 3.549452 0.132766
2019.000000 3.519502 0.135514
2020.000000 3.480735 0.138823
2021.000000 3.435779 0.142137
2022.000000 3.388854 0.145362
2023.000000 3.343824 0.147780
2024.000000 3.304979 0.149117
2025.000000 3.279607 0.149328
2026.000000 3.270018 0.149941
2027.000000 3.277372 0.150253
2028.000000 3.298706 0.150259
2029.000000 3.328821 0.150919
2030.000000 3.363617 0.152515
2031.000000 3.400551 0.154895
2032.000000 3.438724 0.158395
2033.000000 3.475627 0.162233
2034.000000 3.506831 0.166482
2035.000000 3.534372 0.170902
2036.000000 3.554504 0.174824
2037.000000 3.570863 0.178311
2038.000000 3.587995 0.181129
2039.000000 3.605568 0.183483
2040.000000 3.625541 0.185515
2041.000000 3.646698 0.186420
2042.000000 3.665332 0.185889
2043.000000 3.682561 0.184538
2044.000000 3.698527 0.183167
2045.000000 3.712656 0.182327
2046.000000 3.721959 0.181707
2047.000000 3.724828 0.181166
2048.000000 3.725075 0.180851
2049.000000 3.723753 0.180936
2050.000000 3.719183 0.181025
2051.000000 3.714445 0.181380
2052.000000 3.708646 0.182085
2053.000000 3.701730 0.182507
2054.000000 3.694141 0.181800
2055.000000 3.688887 0.180960
2056.000000 3.685340 0.180069
2057.000000 3.684065 0.178678
2058.000000 3.689480 0.176363
2059.000000 3.705549 0.173718
2060.000000 3.727912 0.171135
2061.000000 3.759127 0.167928
2062.000000 3.798909 0.164330
2063.000000 3.847343 0.160568
2064.000000 3.904155 0.154951
2065.000000 3.965071 0.147426
2066.000000 4.024552 0.139583
2067.000000 4.074035 0.132806
2068.000000 4.111639 0.128324
2069.000000 4.137205 0.125501
2070.000000 4.145047 0.124358
2071.000000 4.137597 0.124268
2072.000000 4.116664 0.126264
2073.000000 4.086433 0.128977
2074.000000 4.053798 0.131011
2075.000000 4.029906 0.131294
2076.000000 4.013991 0.131586
2077.000000 4.001916 0.132470
2078.000000 3.994221 0.133496
2079.000000 3.988889 0.134733
2080.000000 3.983370 0.137192
2081.000000 3.971647 0.140641
2082.000000 3.949462 0.144311
2083.000000 3.917642 0.148071
2084.000000 3.877995 0.151349
2085.000000 3.836677 0.153502
2086.000000 3.798193 0.154597
2087.000000 3.767686 0.154701
2088.000000 3.742946 0.155099
2089.000000 3.720773 0.154699
2090.000000 3.701179 0.154797
2091.000000 3.680041 0.155632
2092.000000 3.659734 0.156804
2093.000000 3.638286 0.158418
2094.000000 3.614129 0.160310
2095.000000 3.588531 0.163261
2096.000000 3.559886 0.167118
2097.000000 3.533615 0.170029
